Test Case,Sequential CPU,OpenMP (1T) (Scalar),OpenMP (1T) (AVX),OpenMP (2T) (Scalar),OpenMP (2T) (AVX),OpenMP (4T) (Scalar),OpenMP (4T) (AVX),OpenMP (8T) (Scalar),OpenMP (8T) (AVX),OpenMP (12T) (Scalar),OpenMP (12T) (AVX),OpenMP (16T) (Scalar),OpenMP (16T) (AVX),OpenCL NAVI 23,OpenCL Radeon 680M
Scale Image: 256x256 (3x3 Kernel),11.727,10.027,2.712,6.681,1.725,4.158,1.224,2.681,0.75,2.295,0.944,2.272,0.84,0.018,0.116
Scale Image: 512x512 (3x3 Kernel),46.08,40.342,10.836,29.591,6.392,15.939,4.635,9.554,2.894,6.429,1.99,5.559,1.538,0.036,0.411
Scale Image: 1024x1024 (3x3 Kernel),157.714,165.026,39.726,110.548,28.056,62.68,16.946,32.302,9.405,22.61,6.953,19.179,5.733,0.098,0.642
Scale Image: 2048x2048 (3x3 Kernel),655.98,672.519,164.153,464.819,89.858,246.253,71.23,141.52,46.811,126.86,35.544,123.877,49.339,0.387,1.709
Scale Image: 4096x4096 (3x3 Kernel),2655.64,2674.8,625.251,1812.554,358.03,984.804,245.82,537.136,167.985,407.874,171.739,392.094,183.98,1.701,5.954
